filename,store_name,store_address,store_code,taxpayer_name,tax_id,receipt_number,cashier_name,date,time,item_name,quantity,unit_price,line_total,subtotal,vat_18_percent,total_tax,cashless_payment,cash_payment,bonus_payment,advance_payment,credit_payment,queue_number,cash_register_model,cash_register_serial,fiscal_id,fiscal_registration,refund_amount,refund_date,refund_time
zbRTryY1MVkR.jpeg,PROMART Məhdud Məsuliyyətli Cəmiyyəti,BAKI ŞƏHƏRİ A ƏRİ RArONU SÜLEYMAN RÜSTƏM,1702278621-14001,PROMART Məhdud Məsuliyyətli Cəmiyyəti,1702278621,786717,Quliyeva Gulnar,09.06.2023,08:20:47,SU SİRAB İL QAZSIZ PL,100.0,0.85,85.00,3.33,0.51,0.51,3333.00,0.0,0.0,0.0,0.0,90,İBM POS 700,41ARR40,zbRTiyYIMVKR.,0000021835,0.09,09.07.2023,12:03
UQqWum1T5UPB.jpeg,ai MARKET,"Bakı Şəhəri, Süleyman Rüstəm rayonu",1702278621-14001,PROMART Məhdud Məsuliyyətli Cəmiyyəti,1702278621,238692,Farzaliyev Elmin,02.06.2023,08:40:30,AZCAKE XACAPURI PENDİRL,1.0,1.60,1.60,1.30,0.24,1.30,0.0,0.0,0.0,0.0,0.0,206,İBM POS 700,41AVVK12,UQqVVum1T5UPB,0000030116,0.23,02.07.2023,11:40
9FjTM9ngrpCu.jpeg,PROMART Məhdud Məsuliyyətli Cəmiyyəti,"BAKI ŞƏHƏRİ, SÜLEYMAN RÜSTƏM",1702278621-14001,PROMART Məhdud Məsuliyyətli Cəmiyyəti,1702278621,16538,Hasanova Gulnar,15.01.2024,08:30:11,PECENYE ETI BURCAK,11.4,149.00,1698.60,6.00,0.99,0.99,648.00,0.0,0.0,0,0.0,319,NCR RealPOS XR7 (7703) KLR M-POS 1.05.90,0000035727,9FİTMƏngrpCu,0000163236,0.17,15.02.2024,06:01
563vPHE3rPgh.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı Şəhəri, Gəncə Pr. ev.Korpus 04, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,134541,Konul Bayramova,28.03.2023,19:06:48,Paket Araz,5.0,0.05,0.25,10.17,1.43,1.43,10.17,0.0,0.0,0.0,0.0,398,NBA FiscalBox,900119100844,563vPHE3rPgh,0000007877,0.25,27.04.2023,07:33
8kPuYq4mgxHq.jpeg,SSİ RETAİL MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,BAKI ŞƏHƏRİ,1000143741-20001,SSİ RETAİL MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1000143741,16661,Api,18.03.2023,10:45:19,BlkActiveBackpack,1.0,69.99,69.99,69.99,10.68,10.68,69.99,0.0,0.0,0.0,0.0,7,TPS575 Smart POS,2001G57500301817,8kPuYq4mgxHq,0000013978,1.87,17.04.2023,11:51
2yzYgpvEYyDM.jpeg,GRAND-MART,"Bakı Şəhəri, Əli Yonu Əhmədli Ştq Məhəmməd, ev.75",1401395111-20002,MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1401395111,311670,Muradova Goycak,14.01.2024,15:24:25,A2SAKE AG TENDİR ED,100.0,0.75,75.00,6.20,0.83,0.83,,,,,,341,NCR RealPOS XR7 (7703) KLR M-POS 1.05.90,0000039327,2yzYgpvEYyDM,0000096602,0.15,14.02.2024,04:09
FtpVam2hjMpY.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,BAKI ŞƏHƏRİ (EYRİ RAYONU GƏNCƏ PR. ev.KORPUS 04 vö m.2942 SAYLI BİNA,1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,162948,Eliyar Memmedov,10.04.2023,00:38:05,LAMPA 300-BT,1.0,159.00,159.00,31.22,4.76,4.76,32.01,0.0,0.0,0.0,0.0,36,NBA FiscalBox,900119100843,FtpVam2hiMpY,0000007875,0.83,10.05.2023,15:51
5gqhbyNXxtwC.jpeg,Obyektin paylofl-s adlı mağaza,"2 RAYONU ŞƏMSİ BƏDƏLBƏYLİ ev.102, BAKI ŞƏHƏRİ",0800005671-14001,SAHİL TRADİNG MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,0800005671,93125,NERGİZ MEMMEDLİ,25.05.2023,08:42:15,STORCK МЕКС KOFE,100.0,4.84,484.00,5.78,0.88,0.88,51.00,0.0,0.0,0.0,0.0,79,NBA FiscalBox,900119070047,5gqhbyNXxturC,0000120346,0.15,24.06.2023,12:59
2Lg8g12Erwk5.jpeg,GRAND-MART MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"BAKI ŞƏHƏRİ, HADİ ev.75",1401395111-20002,GRAND-MART MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1401395111,2206,Shabizade Elmin,15.01.2024,18:50:38,AZCAKE TENDİR COREK İRİ,100.0,1.00,100.00,7.05,0.92,0.92,7.05,0.0,0.0,0.0,0.0,16,NCR RealPOS XR7 (7703) KLR M-POS 1.05.90,0000023239,2Lg8g12Eruik5,0000162588,0.16,15.02.2024,00:46
AnTanThEYv5k.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,BAKI ŞƏHƏRİ (EYRİ RAYONU GƏNCƏ PR. ev.KORPUS 04 09 т.2942 SAYLI BİNA,1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,159620,Ramazan Zeynalov,05.04.2023,23:12:28,SIRAB QAZSIZ SU PET,2.0,0.45,0.90,36.28,5.53,5.53,36.28,0.0,0.0,0.0,0.0,617,NBA FiscalBox,900119100843,AnTanThEYV5k,0000007875,0.97,05.05.2023,07:02
